variant,DVH,D95_PTV70,LeftParotid,RightParotid,mean_parotid
control,23.34,43.97,39.32,43.21,41.265
C_A_B,25.04,35.29,40.14,39.08,39.61
v3_oar_only,26.22,35.22,34.45,38.44,36.445
C,26.82,33.76,31.12,31.44,31.28
C_A_retuned,26.82,33.09,30.46,33.27,31.865000000000002
v3_rebalanced_oar,26.91,33.89,32.23,35.31,33.769999999999996
v2_barrier,29.4,31.83,39.27,39.62,39.445
v3_gentle_terminal,29.55,22.87,37.28,34.16,35.72
v2_full,31.09,26.64,32.81,30.85,31.830000000000002
C_A,32.08,27.7,20.7,24.41,22.555
